document_ids,sentence_ids,sentences,event_type_ids,words,unique_words,entities,message_ids
387fe1dfe55067eb29e1fd4116d37af3,14,"According to author Neill Macaulay, ""he would attack only when the odds were heavily in his favor-when he clearly had the advantages of surprise, cover, and superior firepower.",23,"['accord', 'author', 'Neill', 'Macaulay', 'would', 'attack', 'odd', 'heavily', 'orwhen', 'clearly', 'advantage', 'surprise', 'cover', 'superior', 'firepower']","['odd', 'heavily', 'firepower', 'cover', 'orwhen', 'clearly', 'surprise', 'Neill', 'would', 'advantage', 'accord', 'superior', 'attack', 'Macaulay', 'author']","[('Neill Macaulay', 'PERSON')]",387fe1dfe55067eb29e1fd4116d37af3_14
387fe1dfe55067eb29e1fd4116d37af3,10,"Sandino had a tendency to greatly exaggerate numbers related to the battles during his rebellion, so this number of 60 is probably inaccurate.",37,"['sandino', 'tendency', 'greatly', 'exaggerate', 'number', 'relate', 'battle', 'rebellion', 'number', 'probably', 'inaccurate']","['probably', 'inaccurate', 'exaggerate', 'sandino', 'relate', 'battle', 'rebellion', 'tendency', 'greatly', 'number']","[('Sandino', 'ORG'), ('60', 'CARDINAL')]",387fe1dfe55067eb29e1fd4116d37af3_10
268c4763208c87ed7ebf55565c274d23,4,"British forces in India were considerably stronger than the French, with the British Indian Army supported by British Army detachments and a Royal Navy squadron under Rear-Admiral William Cornwallis.",42,"['british', 'force', 'India', 'considerably', 'strong', 'french', 'british', 'Indian', 'Army', 'suppoed', 'british', 'Army', 'detachment', 'Royal', 'Navy', 'squadron', 'RearAdmiral', 'William', 'Cornwallis']","['strong', 'Cornwallis', 'RearAdmiral', 'suppoed', 'William', 'India', 'french', 'force', 'british', 'detachment', 'considerably', 'Royal', 'Army', 'Indian', 'Navy', 'squadron']","[('British', 'NORP'), ('India', 'GPE'), ('French', 'NORP'), ('the British Indian Army', 'ORG'), ('British Army', 'ORG'), ('Royal Navy', 'ORG'), ('Rear-Admiral', 'PRODUCT'), ('William Cornwallis', 'PERSON')]",268c4763208c87ed7ebf55565c274d23_4
268c4763208c87ed7ebf55565c274d23,8,"British forces constructed trenches and batteries, often under heavy fire, over the following weeks.",44,"['british', 'force', 'construct', 'trench', 'battery', 'often', 'heavy', 'fire', 'follow', 'week']","['construct', 'often', 'heavy', 'fire', 'force', 'british', 'battery', 'trench', 'follow', 'week']","[('British', 'NORP'), ('the following weeks', 'DATE')]",268c4763208c87ed7ebf55565c274d23_8
268c4763208c87ed7ebf55565c274d23,0,"""For other sieges with this name, see Siege of Pondicherry (disambiguation)"" The Siege of Pondicherry was a colonial military operation in the early stages of the French Revolutionary Wars.",45,"['siege', 'name', 'see', 'Siege', 'Pondicherry', 'disambiguation', 'Siege', 'Pondicherry', 'colonial', 'military', 'operation', 'early', 'stage', 'French', 'Revolutionary', 'Wars']","['Siege', 'early', 'stage', 'military', 'French', 'operation', 'Wars', 'Pondicherry', 'name', 'Revolutionary', 'disambiguation', 'colonial', 'see', 'siege']","[('Siege', 'FAC'), ('Pondicherry', 'GPE'), ('The Siege of Pondicherry', 'WORK_OF_ART')]",268c4763208c87ed7ebf55565c274d23_0
268c4763208c87ed7ebf55565c274d23,3,French India was governed from Pondicherry (modern Puducherry) on the Coromandel Coast.,41,"['French', 'India', 'govern', 'Pondicherry', 'modern', 'Puducherry', 'Coromandel', 'Coast']","['French', 'India', 'Coast', 'Pondicherry', 'modern', 'Coromandel', 'Puducherry', 'govern']","[('French', 'NORP'), ('India', 'GPE'), ('Pondicherry', 'GPE'), ('the Coromandel Coast', 'LOC')]",268c4763208c87ed7ebf55565c274d23_3
3bec0b60c0940c5e46ee2cfc9504df92,5,"However, normally they occur at very low speed, less than 5 mph (8 km/h).",15,"['however', 'normally', 'occur', 'low', 'speed', 'less', 'mph', 'kmh']","['speed', 'less', 'kmh', 'normally', 'low', 'mph', 'however', 'occur']","[('less than 5 mph', 'QUANTITY'), ('8 km/h', 'QUANTITY')]",3bec0b60c0940c5e46ee2cfc9504df92_5
39c2db9e18cd4a02b9aa8c1a3c58aab7,8,They were apprehended and taken to separate hospitals.,1,"['apprehend', 'take', 'separate', 'hospital']","['apprehend', 'hospital', 'separate', 'take']",[],39c2db9e18cd4a02b9aa8c1a3c58aab7_8
c1ae08941a115c7d45e205724e5aa3be,18,"It had begun shortly before 16 October, if both the ""Chronica"" and the obituary of Burgos Cathedral are accurate.",31,"['begin', 'sholy', 'October', 'Chronica', 'obituary', 'Burgos', 'Cathedral', 'accurate']","['Burgos', 'accurate', 'October', 'obituary', 'begin', 'Chronica', 'sholy', 'Cathedral']","[('16 October', 'DATE'), ('Chronica', 'PRODUCT'), ('Burgos Cathedral', 'PERSON')]",c1ae08941a115c7d45e205724e5aa3be_18
c1ae08941a115c7d45e205724e5aa3be,36,This will was later confirmed at Sariñena on 4 September 1134.,18,"['later', 'confirm', 'Sariñena', 'September']","['September', 'later', 'confirm', 'Sariñena']","[('Sariñena', 'ORG'), ('4 September 1134', 'DATE')]",c1ae08941a115c7d45e205724e5aa3be_36
c1ae08941a115c7d45e205724e5aa3be,16,The army probably crossed via the pass at Somport in order to enter Gascony through the allied territory of Béarn.,77,"['army', 'probably', 'cross', 'pass', 'Sompo', 'order', 'enter', 'Gascony', 'ally', 'territory', 'Béarn']","['probably', 'Gascony', 'ally', 'pass', 'cross', 'Béarn', 'order', 'enter', 'Sompo', 'territory', 'army']","[('Somport', 'GPE'), ('Gascony', 'PERSON'), ('Béarn', 'PERSON')]",c1ae08941a115c7d45e205724e5aa3be_16
c1ae08941a115c7d45e205724e5aa3be,27,"It is possible that Pedro González was in the company of Alfonso's mother, Elvira of Castile, Countess of Toulouse, when the young future count of Toulouse was brought back to Europe from Outremer.",78,"['possible', 'Pedro', 'González', 'company', 'Alfonsos', 'mother', 'Elvira', 'Castile', 'Countess', 'Toulouse', 'young', 'future', 'count', 'Toulouse', 'bring', 'back', 'Europe', 'Outremer']","['Elvira', 'Pedro', 'Countess', 'young', 'possible', 'Castile', 'Europe', 'Toulouse', 'bring', 'González', 'Outremer', 'Alfonsos', 'mother', 'future', 'count', 'back', 'company']","[('Pedro González', 'PERSON'), ('Alfonso', 'PERSON'), ('Elvira', 'PERSON'), ('Castile', 'ORG'), ('Countess', 'ORG'), ('Toulouse', 'GPE'), ('Toulouse', 'ORG'), ('Europe', 'LOC')]",c1ae08941a115c7d45e205724e5aa3be_27
c1ae08941a115c7d45e205724e5aa3be,11,"Urraca's second, childless marriage was to Alfonso the Battler.",48,"['Urracas', 'second', 'childless', 'marriage', 'Alfonso', 'Battler']","['childless', 'second', 'Battler', 'Urracas', 'marriage', 'Alfonso']","[('second', 'ORDINAL'), ('Alfonso the Battler', 'PERSON')]",c1ae08941a115c7d45e205724e5aa3be_11
c1ae08941a115c7d45e205724e5aa3be,13,"With the death of Urraca, Alfonso VII, her son by an earlier marriage, succeeded to her position as primary rival of Alfonso the Battler for the rule of these two kingdoms.",48,"['death', 'Urraca', 'Alfonso', 'VII', 'son', 'early', 'marriage', 'succeed', 'position', 'primary', 'rival', 'Alfonso', 'Battler', 'rule', 'two', 'kingdom']","['VII', 'Urraca', 'rival', 'early', 'rule', 'son', 'position', 'two', 'primary', 'death', 'Battler', 'kingdom', 'marriage', 'Alfonso', 'succeed']","[('Urraca', 'ORG'), ('Alfonso VII', 'PERSON'), ('Alfonso the Battler', 'ORG'), ('two', 'CARDINAL')]",c1ae08941a115c7d45e205724e5aa3be_13
c1ae08941a115c7d45e205724e5aa3be,23,"At some point a relief army led by Alfonso Jordan, count of Toulouse, arrived.",6,"['point', 'relief', 'army', 'lead', 'Alfonso', 'Jordan', 'count', 'Toulouse', 'arrive']","['arrive', 'point', 'Toulouse', 'relief', 'Jordan', 'army', 'count', 'Alfonso', 'lead']","[('Alfonso Jordan', 'PERSON'), ('Toulouse', 'ORG')]",c1ae08941a115c7d45e205724e5aa3be_23
c1ae08941a115c7d45e205724e5aa3be,9,"At the same time the Count of Toulouse, Alfonso Jordan, had done homage to Alfonso VII upon his succession in 1126.",62,"['time', 'Count', 'Toulouse', 'Alfonso', 'Jordan', 'do', 'homage', 'Alfonso', 'VII', 'upon', 'succession']","['VII', 'Count', 'time', 'Toulouse', 'Jordan', 'upon', 'succession', 'do', 'Alfonso', 'homage']","[('Toulouse', 'GPE'), ('Alfonso Jordan', 'PERSON'), ('Alfonso VII', 'PERSON'), ('1126', 'CARDINAL')]",c1ae08941a115c7d45e205724e5aa3be_9
c1ae08941a115c7d45e205724e5aa3be,12,For a period of over a decade the two had been engaged in a civil war for power in Castile and León.,48,"['period', 'decade', 'two', 'engage', 'civil', 'war', 'power', 'Castile', 'León']","['two', 'period', 'power', 'Castile', 'engage', 'León', 'war', 'decade', 'civil']","[('two', 'CARDINAL'), ('Castile', 'ORG'), ('León', 'ORG')]",c1ae08941a115c7d45e205724e5aa3be_12
ef451445d348d837669fbab71d1db3a2,8,The survivors were rescued from the icy river by civilians and professionals.,86,"['survivor', 'rescue', 'icy', 'river', 'civilian', 'professional']","['civilian', 'river', 'rescue', 'professional', 'survivor', 'icy']",[],ef451445d348d837669fbab71d1db3a2_8
ef451445d348d837669fbab71d1db3a2,2,"The aircraft struck the 14th Street Bridge, which carries Interstate 395 between Washington, D.C. and Arlington County, Virginia.",23,"['aircraft', 'strike', '14th', 'Street', 'Bridge', 'carry', 'Interstate', 'Washington', 'DC', 'Arlington', 'County', 'Virginia']","['Arlington', 'Street', 'aircraft', 'carry', 'County', 'Virginia', 'DC', '14th', 'Bridge', 'Washington', 'strike', 'Interstate']","[('14th Street Bridge', 'FAC'), ('Washington', 'GPE'), ('D.C.', 'GPE'), ('Arlington County', 'GPE'), ('Virginia', 'GPE')]",ef451445d348d837669fbab71d1db3a2_2
ef451445d348d837669fbab71d1db3a2,7,Four motorists on the bridge were killed.,20,"['four', 'motorist', 'bridge', 'kill']","['bridge', 'kill', 'four', 'motorist']","[('Four', 'CARDINAL')]",ef451445d348d837669fbab71d1db3a2_7
ef451445d348d837669fbab71d1db3a2,4,The aircraft was carrying 74 passengers and five crewmembers.,92,"['aircraft', 'carry', 'passenger', 'five', 'crewmember']","['passenger', 'carry', 'aircraft', 'five', 'crewmember']","[('74', 'CARDINAL'), ('five', 'CARDINAL')]",ef451445d348d837669fbab71d1db3a2_4
045be42474c6c6225401d4b8cc03fe5e,1,This was Singapore's first time as host of the ASEAN Para Games.,82,"['Singapores', 'first', 'time', 'host', 'ASEAN', 'Para', 'Games']","['time', 'ASEAN', 'first', 'Games', 'Singapores', 'host', 'Para']","[('Singapore', 'GPE'), ('first', 'ORDINAL'), ('the ASEAN Para Games', 'EVENT')]",045be42474c6c6225401d4b8cc03fe5e_1
045be42474c6c6225401d4b8cc03fe5e,4,"It was opened by Tony Tan Keng Yam, the President of Singapore at the Singapore Indoor Stadium.",31,"['open', 'Tony', 'Tan', 'Keng', 'Yam', 'President', 'Singapore', 'Singapore', 'Indoor', 'Stadium']","['President', 'Tony', 'Yam', 'Stadium', 'Keng', 'Tan', 'Indoor', 'Singapore', 'open']","[('Tony Tan Keng Yam', 'PERSON'), ('Singapore', 'GPE'), ('the Singapore Indoor Stadium', 'FAC')]",045be42474c6c6225401d4b8cc03fe5e_4
eeb1b3357c409a5f55f45158ce2a62e5,0,"On 6 January 1993, Lufthansa Cityline Flight 5634 departed Bremen Airport for Paris-Charles de Gaulle Airport at 17:30.",94,"['January', 'Lufthansa', 'Cityline', 'Flight', 'depae', 'Bremen', 'Airpo', 'ParisCharles', 'de', 'Gaulle', 'Airpo']","['Bremen', 'Cityline', 'Flight', 'Lufthansa', 'January', 'ParisCharles', 'depae', 'de', 'Gaulle', 'Airpo']","[('6 January 1993', 'DATE'), ('Lufthansa Cityline Flight 5634', 'PRODUCT'), ('Bremen Airport', 'FAC'), ('Paris', 'GPE'), ('17:30', 'TIME')]",eeb1b3357c409a5f55f45158ce2a62e5_0
eeb1b3357c409a5f55f45158ce2a62e5,5,"The aircraft broke into two parts, but there was no fire.",12,"['aircraft', 'break', 'two', 'pas', 'fire']","['two', 'aircraft', 'pas', 'break', 'fire']","[('two', 'CARDINAL')]",eeb1b3357c409a5f55f45158ce2a62e5_5
5c2b32634deb09bf1c67e846cef14e44,3,"In 1949, the Chinese Civil War ended with the victory of the Communist People's Republic of China (PRC).",61,"['Chinese', 'Civil', 'War', 'end', 'victory', 'Communist', 'Peoples', 'Republic', 'China', 'PRC']","['Communist', 'Chinese', 'Republic', 'Civil', 'Peoples', 'PRC', 'end', 'China', 'victory', 'War']","[('1949', 'DATE'), ('the Chinese Civil War', 'EVENT'), (""the Communist People's Republic of China"", 'ORG'), ('PRC', 'GPE')]",5c2b32634deb09bf1c67e846cef14e44_3
5c2b32634deb09bf1c67e846cef14e44,7,"In April 1950, the PRC captured Hainan.",21,"['April', 'PRC', 'capture', 'Hainan']","['April', 'capture', 'Hainan', 'PRC']","[('April 1950', 'DATE'), ('PRC', 'GPE'), ('Hainan', 'GPE')]",5c2b32634deb09bf1c67e846cef14e44_7
5c2b32634deb09bf1c67e846cef14e44,5,The RoC government relocated to the island of Taiwan.,65,"['RoC', 'government', 'relocate', 'island', 'Taiwan']","['government', 'island', 'Taiwan', 'relocate', 'RoC']","[('RoC', 'GPE'), ('Taiwan', 'GPE')]",5c2b32634deb09bf1c67e846cef14e44_5
f5f617fe0cbadf8fdbc06b0ecbe0be92,1,"It took place on September 21, 2014, at the Bridgestone Arena in Nashville, Tennessee, and was the eighth annual Night of Champions event.",31,"['take', 'place', 'September', 'Bridgestone', 'Arena', 'Nashville', 'Tennessee', 'eighth', 'annual', 'Night', 'Champions', 'event']","['Champions', 'Nashville', 'Tennessee', 'annual', 'eighth', 'event', 'Arena', 'place', 'take', 'Night', 'September', 'Bridgestone']","[('September 21, 2014', 'DATE'), ('the Bridgestone Arena', 'ORG'), ('Nashville', 'GPE'), ('Tennessee', 'GPE'), ('eighth', 'ORDINAL'), ('Night of Champions', 'EVENT')]",f5f617fe0cbadf8fdbc06b0ecbe0be92_1
f5f617fe0cbadf8fdbc06b0ecbe0be92,5,"The event also saw AJ Lee defeating Paige & Nikki Bella to win her record tying third WWE Divas Championship.The event had 48,000 buys (excluding WWE Network views).",21,"['event', 'also', 'see', 'AJ', 'Lee', 'defeat', 'Paige', 'Nikki', 'Bella', 'win', 'record', 'tie', 'third', 'WWE', 'Divas', 'ChampionshipThe', 'event', 'buy', 'exclude', 'WWE', 'Network', 'view']","['defeat', 'Paige', 'Network', 'also', 'ChampionshipThe', 'Bella', 'WWE', 'win', 'third', 'event', 'Nikki', 'Divas', 'exclude', 'record', 'buy', 'Lee', 'view', 'AJ', 'tie', 'see']","[('AJ Lee', 'PERSON'), ('Paige', 'PERSON'), ('Nikki Bella', 'PERSON'), ('third', 'ORDINAL'), ('48,000', 'CARDINAL'), ('WWE Network', 'ORG')]",f5f617fe0cbadf8fdbc06b0ecbe0be92_5
f5f617fe0cbadf8fdbc06b0ecbe0be92,2,Eight matches were contested at the event.,84,"['eight', 'match', 'contest', 'event']","['event', 'match', 'contest', 'eight']","[('Eight', 'CARDINAL')]",f5f617fe0cbadf8fdbc06b0ecbe0be92_2
f5f617fe0cbadf8fdbc06b0ecbe0be92,6,"The previous year's drew 175,000 buys.",101,"['previous', 'year', 'draw', 'buy']","['draw', 'year', 'previous', 'buy']","[(""The previous year's"", 'DATE'), ('175,000', 'CARDINAL')]",f5f617fe0cbadf8fdbc06b0ecbe0be92_6
59d35dfd8d9fe91d66d11497d051aba5,17,The second explosion was equivalent to over 2 tonnes of TNT.,23,"['second', 'explosion', 'equivalent', 'tonne', 'TNT']","['tonne', 'explosion', 'equivalent', 'second', 'TNT']","[('second', 'ORDINAL'), ('2 tonnes', 'QUANTITY'), ('TNT', 'ORG')]",59d35dfd8d9fe91d66d11497d051aba5_17
59d35dfd8d9fe91d66d11497d051aba5,16,"Two minutes and fifteen seconds after the initial blast, the sub was on the bottom when the intense initial fire triggered the detonation of between five and seven torpedo warheads.",5,"['two', 'minute', 'fifteen', 'second', 'initial', 'blast', 'sub', 'bottom', 'intense', 'initial', 'fire', 'trigger', 'detonation', 'five', 'seven', 'torpedo', 'warhead']","['intense', 'blast', 'bottom', 'two', 'five', 'sub', 'second', 'warhead', 'initial', 'fire', 'fifteen', 'seven', 'torpedo', 'minute', 'detonation', 'trigger']","[('Two minutes and fifteen seconds', 'TIME'), ('between five and seven', 'CARDINAL')]",59d35dfd8d9fe91d66d11497d051aba5_16
59d35dfd8d9fe91d66d11497d051aba5,19,The nuclear reactors shut down safely.,90,"['nuclear', 'reactor', 'shut', 'safely']","['reactor', 'nuclear', 'safely', 'shut']",[],59d35dfd8d9fe91d66d11497d051aba5_19
ab70a3e49966caa8c35f8b27fabea3ad,1,"He died while in police custody at Queen's Gardens Police Station, Kingston upon Hull, in April 1998.",13,"['die', 'police', 'custody', 'Queens', 'Gardens', 'Police', 'Station', 'Kingston', 'upon', 'Hull', 'April']","['custody', 'April', 'Gardens', 'die', 'Kingston', 'upon', 'Station', 'Hull', 'Police', 'Queens', 'police']","[(""Queen's Gardens Police Station"", 'ORG'), ('Kingston', 'GPE'), ('Hull', 'PERSON'), ('April 1998', 'DATE')]",ab70a3e49966caa8c35f8b27fabea3ad_1
ab70a3e49966caa8c35f8b27fabea3ad,9,The incident was captured on the police station's closed-circuit television (CCTV) cameras.,21,"['incident', 'capture', 'police', 'station', 'closedcircuit', 'television', 'CCTV', 'camera']","['television', 'closedcircuit', 'incident', 'station', 'capture', 'CCTV', 'camera', 'police']","[('CCTV', 'ORG')]",ab70a3e49966caa8c35f8b27fabea3ad_9
b994d5a3e89bfd7a1dc5755c06891cf3,1,The gas attacks were part of an engagement between divisions of the II Bavarian Corps and divisions of the British I Corps.,23,"['gas', 'attack', 'pa', 'engagement', 'division', 'II', 'Bavarian', 'Corps', 'division', 'British', 'Corps']","['Bavarian', 'British', 'engagement', 'pa', 'attack', 'division', 'II', 'Corps', 'gas']","[('the II Bavarian Corps', 'ORG'), ('British', 'NORP'), ('Corps', 'ORG')]",b994d5a3e89bfd7a1dc5755c06891cf3_1
b994d5a3e89bfd7a1dc5755c06891cf3,0,"The Gas Attacks at Hulluch were two German cloud gas attacks on British troops during World War I, from 1916, near the village of Hulluch, north of Loos in northern France.",23,"['gas', 'Attacks', 'Hulluch', 'two', 'german', 'cloud', 'gas', 'attack', 'british', 'troop', 'World', 'War', 'near', 'village', 'Hulluch', 'noh', 'Loos', 'nohern', 'France']","['nohern', 'two', 'cloud', 'attack', 'village', 'noh', 'near', 'british', 'troop', 'Attacks', 'Hulluch', 'World', 'Loos', 'german', 'France', 'gas', 'War']","[('Hulluch', 'ORG'), ('two', 'CARDINAL'), ('German', 'NORP'), ('British', 'NORP'), ('World War I', 'EVENT'), ('1916', 'DATE'), ('Hulluch', 'GPE'), ('Loos', 'LOC'), ('France', 'GPE')]",b994d5a3e89bfd7a1dc5755c06891cf3_0
4138a00b4f4788c95f8f0d047e60c5b4,7,"The Canadian band Helix opened for them in Detroit, as Ted Nugent had played his annual ""New Year's Eve Whiplash Bash"", headlining at Cobo.",102,"['canadian', 'band', 'Helix', 'open', 'Detroit', 'Ted', 'Nugent', 'play', 'annual', 'New', 'Years', 'Eve', 'Whiplash', 'Bash', 'headline', 'Cobo']","['Bash', 'Ted', 'Years', 'band', 'annual', 'Cobo', 'Helix', 'Nugent', 'play', 'New', 'headline', 'canadian', 'Eve', 'Detroit', 'Whiplash', 'open']","[('Canadian', 'NORP'), ('Helix', 'ORG'), ('Detroit', 'GPE'), ('Ted Nugent', 'PERSON'), (""New Year's Eve Whiplash Bash"", 'EVENT'), ('Cobo', 'ORG')]",4138a00b4f4788c95f8f0d047e60c5b4_7
4138a00b4f4788c95f8f0d047e60c5b4,2,"The night before the Jackson show, bassist Gene Simmons played DJ on local rock-and-roll station Z106.",82,"['night', 'Jackson', 'show', 'bassist', 'Gene', 'Simmons', 'play', 'DJ', 'local', 'rockandroll', 'station', 'z106']","['z106', 'Simmons', 'station', 'bassist', 'Gene', 'Jackson', 'play', 'night', 'local', 'show', 'DJ', 'rockandroll']","[('night', 'TIME'), ('Jackson', 'PERSON'), ('Gene Simmons', 'PERSON'), ('DJ', 'PERSON')]",4138a00b4f4788c95f8f0d047e60c5b4_2
15f032e838d8b3f1ab0023eb3b45281d,0,"On June 25, 2009, singer Michael Jackson died of acute propofol and benzodiazepine intoxication at his home on North Carolwood Drive in the Holmby Hills neighborhood of Los Angeles.",13,"['June', 'singer', 'Michael', 'Jackson', 'die', 'acute', 'propofol', 'benzodiazepine', 'intoxication', 'home', 'Noh', 'Carolwood', 'Drive', 'Holmby', 'Hills', 'neighborhood', 'Los', 'Angeles']","['Michael', 'intoxication', 'propofol', 'June', 'Jackson', 'Hills', 'die', 'neighborhood', 'Carolwood', 'Angeles', 'singer', 'benzodiazepine', 'acute', 'Los', 'Noh', 'Drive', 'Holmby', 'home']","[('June 25, 2009', 'DATE'), ('Michael Jackson', 'PERSON'), ('North Carolwood Drive', 'LOC'), ('the Holmby Hills', 'LOC'), ('Los Angeles', 'GPE')]",15f032e838d8b3f1ab0023eb3b45281d_0
15f032e838d8b3f1ab0023eb3b45281d,3,Jackson had been administered propofol and anti-anxiety benzodiazepines lorazepam and midazolam by his doctor.,41,"['Jackson', 'administer', 'propofol', 'antianxiety', 'benzodiazepine', 'lorazepam', 'midazolam', 'doctor']","['antianxiety', 'propofol', 'Jackson', 'doctor', 'administer', 'benzodiazepine', 'midazolam', 'lorazepam']","[('Jackson', 'ORG')]",15f032e838d8b3f1ab0023eb3b45281d_3
9b02d1c112135b13a142372e9b6ac135,1,The U.S. Army Air Service played a significant role in this action.,54,"['US', 'Army', 'Air', 'Service', 'play', 'significant', 'role', 'action']","['significant', 'action', 'play', 'US', 'Service', 'Army', 'Air', 'role']","[('The U.S. Army Air Service', 'ORG')]",9b02d1c112135b13a142372e9b6ac135_1
3242481e82a9a7b24c1bd35120cd2077,6,The tournament was to feature over 30 international cricketers and be the first of its kind in Sri Lanka.,84,"['tournament', 'feature', 'international', 'cricketer', 'first', 'kind', 'Sri', 'Lanka']","['international', 'first', 'Lanka', 'feature', 'Sri', 'kind', 'tournament', 'cricketer']","[('30', 'CARDINAL'), ('first', 'ORDINAL'), ('Sri Lanka', 'GPE')]",3242481e82a9a7b24c1bd35120cd2077_6
3242481e82a9a7b24c1bd35120cd2077,5,The teams were to be captained by six national captains and a former Sri Lanka vice-captain.,41,"['team', 'captain', 'six', 'national', 'captain', 'former', 'Sri', 'Lanka', 'vicecaptain']","['former', 'team', 'vicecaptain', 'six', 'Lanka', 'Sri', 'captain', 'national']","[('six', 'CARDINAL'), ('Sri Lanka', 'GPE')]",3242481e82a9a7b24c1bd35120cd2077_5
76d5454e5f0d698685d9ce66ea7ef420,10,Kopechne died inside the fully submerged car.,13,"['Kopechne', 'die', 'inside', 'fully', 'submerge', 'car']","['Kopechne', 'car', 'die', 'inside', 'submerge', 'fully']","[('Kopechne', 'ORG')]",76d5454e5f0d698685d9ce66ea7ef420_10
76d5454e5f0d698685d9ce66ea7ef420,11,A diver recovered Kopechne's body from inside the car shortly before 9a.m.,27,"['diver', 'recover', 'Kopechnes', 'body', 'inside', 'car', 'sholy', '9', 'a.m.']","['9', 'car', 'body', 'Kopechnes', 'diver', 'inside', 'a.m.', 'recover', 'sholy']","[('Kopechne', 'ORG'), ('9a.m.', 'TIME')]",76d5454e5f0d698685d9ce66ea7ef420_11
1d019f861c90f2ecf4b6c0ac826efb76,20,"To everyone's surprise, ethnic German Klaus Iohannis won the election.",96,"['everyones', 'surprise', 'ethnic', 'german', 'Klaus', 'Iohannis', 'election']","['Iohannis', 'everyones', 'surprise', 'Klaus', 'ethnic', 'german', 'election']","[('German', 'NORP'), ('Klaus Iohannis', 'PERSON')]",1d019f861c90f2ecf4b6c0ac826efb76_20
1d019f861c90f2ecf4b6c0ac826efb76,5,"In the first six months of the year, three governments have been changed.",65,"['first', 'six', 'month', 'year', 'three', 'government', 'change']","['government', 'change', 'month', 'first', 'six', 'three', 'year']","[('the first six months of the year', 'DATE'), ('three', 'CARDINAL')]",1d019f861c90f2ecf4b6c0ac826efb76_5
1d019f861c90f2ecf4b6c0ac826efb76,17,"In the winter of 2014, the ruling alliance collapsed, after internal tensions between PSD and PNL.",12,"['winter', 'ruling', 'alliance', 'collapse', 'internal', 'tension', 'PSD', 'PNL']","['PNL', 'ruling', 'collapse', 'tension', 'internal', 'PSD', 'alliance', 'winter']","[('the winter of 2014', 'DATE'), ('PSD', 'ORG'), ('PNL', 'ORG')]",1d019f861c90f2ecf4b6c0ac826efb76_17
3c62de442b638d708d15c1e4213fe310,1,"Danny Willett won his first major championship, three strokes ahead of runners-up Lee Westwood and defending champion Jordan Spieth.",43,"['Danny', 'Willett', 'first', 'major', 'championship', 'three', 'stroke', 'ahead', 'runnersup', 'Lee', 'Westwood', 'defend', 'champion', 'Jordan', 'Spieth']","['Spieth', 'Danny', 'champion', 'first', 'stroke', 'Westwood', 'defend', 'Jordan', 'three', 'major', 'ahead', 'runnersup', 'championship', 'Willett', 'Lee']","[('Danny Willett', 'PERSON'), ('first', 'ORDINAL'), ('three', 'CARDINAL'), ('Lee Westwood', 'PERSON'), ('Jordan Spieth', 'PERSON')]",3c62de442b638d708d15c1e4213fe310_1
